value,date
1.136275,23:23:11
1.136275,23:23:11
1.136275,23:23:11
1.136275,23:23:12
1.136285,23:23:12
1.136285,23:23:12
1.136285,23:23:12
1.136285,23:23:12
1.136285,23:23:13
1.136290,23:23:13
1.136315,23:23:13
1.136321,23:23:13
1.136320,23:23:13
1.136320,23:23:14
1.136320,23:23:14
1.136325,23:23:14
1.136325,23:23:14
1.136325,23:23:14
1.136322,23:23:15
1.136325,23:23:15
1.136325,23:23:15
1.136325,23:23:15
1.136325,23:23:15
1.136325,23:23:15
1.136335,23:23:16
1.136335,23:23:16
1.136335,23:23:16
1.136335,23:23:16
1.136335,23:23:16
1.136325,23:23:17
1.136313,23:23:17
1.136321,23:23:17
1.136325,23:23:17
1.136325,23:23:17
1.136325,23:23:18
1.136325,23:23:18
1.136325,23:23:18
1.136325,23:23:18
1.136325,23:23:18
1.136325,23:23:19
1.136325,23:23:19
1.136332,23:23:19
1.136335,23:23:19
1.136335,23:23:19
1.136335,23:23:19
1.136335,23:23:20
1.136340,23:23:20
1.136336,23:23:20
1.136335,23:23:20
1.136340,23:23:20
1.136345,23:23:21
1.136342,23:23:21
1.136340,23:23:21
1.136340,23:23:21
1.136340,23:23:21
1.136340,23:23:22
1.136340,23:23:22
1.136340,23:23:22
1.136340,23:23:22
1.136345,23:23:22
1.136345,23:23:23
1.136340,23:23:23
1.136340,23:23:23
1.136340,23:23:23
1.136340,23:23:23
1.136345,23:23:24
1.136345,23:23:24
1.136345,23:23:24
1.136345,23:23:24
1.136345,23:23:24
1.136345,23:23:25
1.136345,23:23:25
1.136345,23:23:25
1.136345,23:23:25
1.136345,23:23:25
1.136345,23:23:26
1.136345,23:23:26
1.136345,23:23:26
1.136345,23:23:26
1.136345,23:23:26
1.136345,23:23:27
1.136345,23:23:27
1.136345,23:23:27
1.136345,23:23:27
1.136345,23:23:27
1.136340,23:23:28
1.136340,23:23:28
1.136340,23:23:28
1.136340,23:23:28
1.136340,23:23:28
1.136340,23:23:29
1.136340,23:23:29
1.136340,23:23:29
1.136340,23:23:29
1.136340,23:23:29
1.136340,23:23:30
1.136340,23:23:30
1.136340,23:23:30
1.136340,23:23:30
1.136340,23:23:30
1.136345,23:23:31
1.136345,23:23:31
1.136345,23:23:31
1.136340,23:23:31
1.136335,23:23:31
1.136330,23:23:31
1.136330,23:23:32
1.136330,23:23:32
1.136330,23:23:32
1.136330,23:23:32
1.136330,23:23:32
1.136330,23:23:33
1.136330,23:23:33
1.136330,23:23:33
1.136330,23:23:33
1.136330,23:23:33
1.136330,23:23:34
1.136330,23:23:34
1.136330,23:23:34
1.136330,23:23:34
1.136330,23:23:34
1.136330,23:23:35
1.136330,23:23:35
1.136330,23:23:35
1.136330,23:23:35
1.136330,23:23:35
1.136330,23:23:36
1.136318,23:23:36
1.136315,23:23:36
1.136324,23:23:36
1.136330,23:23:36
1.136333,23:23:36
1.136325,23:23:37
1.136325,23:23:37
1.136325,23:23:37
1.136325,23:23:37
1.136325,23:23:37
1.136325,23:23:38
1.136325,23:23:38
1.136325,23:23:38
1.136325,23:23:38
1.136325,23:23:38
1.136325,23:23:39
1.136325,23:23:39
1.136325,23:23:39
1.136325,23:23:39
1.136325,23:23:39
1.136325,23:23:39
